2016-03-26 19:23:25 status unpacked libstdc++6:armel 4.9.2-10
2016-03-26 19:23:25 status half-configured libstdc++6:armel 4.9.2-10
2016-03-26 19:23:25 status installed libstdc++6:armel 4.9.2-10
2016-03-26 19:23:25 configure libffi6:armel 3.1-2+b2 <none>
2016-03-26 19:23:25 status unpacked libffi6:armel 3.1-2+b2
2016-03-26 19:23:25 status half-configured libffi6:armel 3.1-2+b2
2016-03-26 19:23:25 status installed libffi6:armel 3.1-2+b2
2016-03-26 19:23:25 configure libacl1:armel 2.2.52-2 <none>
2016-03-26 19:23:25 status unpacked libacl1:armel 2.2.52-2
2016-03-26 19:23:25 status half-configured libacl1:armel 2.2.52-2
2016-03-26 19:23:25 status installed libacl1:armel 2.2.52-2
2016-03-26 19:23:25 configure ncurses-bin:armel 5.9+20140913-1+b1 <none>
2016-03-26 19:23:25 status unpacked ncurses-bin:armel 5.9+20140913-1+b1
2016-03-26 19:23:25 status half-configured ncurses-bin:armel 5.9+20140913-1+b1
2016-03-26 19:23:25 status installed ncurses-bin:armel 5.9+20140913-1+b1
2016-03-26 19:23:25 configure acl:armel 2.2.52-2 <none>
2016-03-26 19:23:25 status unpacked acl:armel 2.2.52-2
2016-03-26 19:23:25 status half-configured acl:armel 2.2.52-2
2016-03-26 19:23:25 status installed acl:armel 2.2.52-2
2016-03-26 19:23:25 configure libapt-pkg4.12:armel 1.0.9.8.2 <none>
2016-03-26 19:23:25 status unpacked libapt-pkg4.12:armel 1.0.9.8.2
2016-03-26 19:23:25 status half-configured libapt-pkg4.12:armel 1.0.9.8.2
2016-03-26 19:23:25 status installed libapt-pkg4.12:armel 1.0.9.8.2
2016-03-26 19:23:25 configure libicu52:armel 52.1-8+deb8u3 <none>
2016-03-26 19:23:25 status unpacked libicu52:armel 52.1-8+deb8u3
2016-03-26 19:23:25 status half-configured libicu52:armel 52.1-8+deb8u3
2016-03-26 19:23:25 status installed libicu52:armel 52.1-8+deb8u3
2016-03-26 19:23:25 configure libedit2:armel 3.1-20140620-2 <none>
2016-03-26 19:23:25 status unpacked libedit2:armel 3.1-20140620-2
2016-03-26 19:23:25 status half-configured libedit2:armel 3.1-20140620-2
2016-03-26 19:23:25 status installed libedit2:armel 3.1-20140620-2
2016-03-26 19:23:25 configure libncurses5:armel 5.9+20140913-1+b1 <none>
2016-03-26 19:23:25 status unpacked libncurses5:armel 5.9+20140913-1+b1
2016-03-26 19:23:25 status half-configured libncurses5:armel 5.9+20140913-1+b1
2016-03-26 19:23:25 status installed libncurses5:armel 5.9+20140913-1+b1
2016-03-26 19:23:25 configure libk5crypto3:armel 1.12.1+dfsg-19+deb8u1 <none>
2016-03-26 19:23:25 status unpacked libk5crypto3:armel 1.12.1+dfsg-19+deb8u1
2016-03-26 19:23:25 status half-configured libk5crypto3:armel 1.12.1+dfsg-19+deb8u1
2016-03-26 19:23:25 status installed libk5crypto3:armel 1.12.1+dfsg-19+deb8u1
2016-03-26 19:23:25 configure less:armel 458-3 <none>
2016-03-26 19:23:25 status unpacked less:armel 458-3
2016-03-26 19:23:25 status half-configured less:armel 458-3
2016-03-26 19:23:27 status installed less:armel 458-3
2016-03-26 19:23:27 configure dialog:armel 1.2-20140911-1 <none>
2016-03-26 19:23:27 status unpacked dialog:armel 1.2-20140911-1
2016-03-26 19:23:27 status half-configured dialog:armel 1.2-20140911-1
2016-03-26 19:23:27 status installed dialog:armel 1.2-20140911-1
2016-03-26 19:23:27 configure libcap2-bin:armel 1:2.24-8 <none>
2016-03-26 19:23:27 status unpacked libcap2-bin:armel 1:2.24-8
2016-03-26 19:23:27 status half-configured libcap2-bin:armel 1:2.24-8
2016-03-26 19:23:27 status installed libcap2-bin:armel 1:2.24-8
2016-03-26 19:23:27 configure iproute:all 1:3.16.0-2 <none>
2016-03-26 19:23:27 status unpacked iproute:all 1:3.16.0-2
2016-03-26 19:23:27 status half-configured iproute:all 1:3.16.0-2
2016-03-26 19:23:27 status installed iproute:all 1:3.16.0-2
2016-03-26 19:23:27 configure bsdutils:armel 1:2.25.2-6 <none>
2016-03-26 19:23:27 status unpacked bsdutils:armel 1:2.25.2-6
2016-03-26 19:23:27 status half-configured bsdutils:armel 1:2.25.2-6
2016-03-26 19:23:27 status installed bsdutils:armel 1:2.25.2-6
2016-03-26 19:23:27 configure libpsl0:armel 0.5.1-1 <none>
2016-03-26 19:23:27 status unpacked libpsl0:armel 0.5.1-1
2016-03-26 19:23:27 status half-configured libpsl0:armel 0.5.1-1
2016-03-26 19:23:27 status installed libpsl0:armel 0.5.1-1
2016-03-26 19:23:27 configure libirs-export91:armel 1:9.9.5.dfsg-9+deb8u4 <none>
2016-03-26 19:23:27 status unpacked libirs-export91:armel 1:9.9.5.dfsg-9+deb8u4
2016-03-26 19:23:27 status half-configured libirs-export91:armel 1:9.9.5.dfsg-9+deb8u4
2016-03-26 19:23:27 status installed libirs-export91:armel 1:9.9.5.dfsg-9+deb8u4
2016-03-26 19:23:27 configure coreutils:armel 8.23-4 <none>
2016-03-26 19:23:27 status unpacked coreutils:armel 8.23-4
2016-03-26 19:23:27 status half-configured coreutils:armel 8.23-4
2016-03-26 19:23:27 status installed coreutils:armel 8.23-4
2016-03-26 19:23:27 configure tar:armel 1.27.1-2+b1 <none>
2016-03-26 19:23:27 status unpacked tar:armel 1.27.1-2+b1
2016-03-26 19:23:27 status half-configured tar:armel 1.27.1-2+b1
2016-03-26 19:23:27 status installed tar:armel 1.27.1-2+b1
2016-03-26 19:23:27 configure libp11-kit0:armel 0.20.7-1 <none>
2016-03-26 19:23:27 status unpacked libp11-kit0:armel 0.20.7-1
2016-03-26 19:23:27 status half-configured libp11-kit0:armel 0.20.7-1
2016-03-26 19:23:27 status installed libp11-kit0:armel 0.20.7-1
2016-03-26 19:23:27 configure libgnutls-deb0-28:armel 3.3.8-6+deb8u3 <none>
2016-03-26 19:23:27 status unpacked libgnutls-deb0-28:armel 3.3.8-6+deb8u3
2016-03-26 19:23:27 status half-configured libgnutls-deb0-28:armel 3.3.8-6+deb8u3
2016-03-26 19:23:27 status installed libgnutls-deb0-28:armel 3.3.8-6+deb8u3
2016-03-26 19:23:27 configure dpkg:armel 1.17.26 <none>
2016-03-26 19:23:27 status unpacked dpkg:armel 1.17.26
2016-03-26 19:23:27 status half-configured dpkg:armel 1.17.26
2016-03-26 19:23:27 status installed dpkg:armel 1.17.26
2016-03-26 19:23:27 configure libkrb5-3:armel 1.12.1+dfsg-19+deb8u1 <none>
2016-03-26 19:23:27 status unpacked libkrb5-3:armel 1.12.1+dfsg-19+deb8u1
2016-03-26 19:23:27 status half-configured libkrb5-3:armel 1.12.1+dfsg-19+deb8u1
2016-03-26 19:23:28 status installed libkrb5-3:armel 1.12.1+dfsg-19+deb8u1
2016-03-26 19:23:28 configure sed:armel 4.2.2-4+b1 <none>
2016-03-26 19:23:28 status unpacked sed:armel 4.2.2-4+b1
2016-03-26 19:23:28 status half-configured sed:armel 4.2.2-4+b1
2016-03-26 19:23:28 status installed sed:armel 4.2.2-4+b1
2016-03-26 19:23:28 configure readline-common:all 6.3-8 <none>
2016-03-26 19:23:28 status unpacked readline-common:all 6.3-8
2016-03-26 19:23:28 status half-configured readline-common:all 6.3-8
2016-03-26 19:23:28 status installed readline-common:all 6.3-8
2016-03-26 19:23:28 configure libgdbm3:armel 1.8.3-13.1 <none>
2016-03-26 19:23:28 status unpacked libgdbm3:armel 1.8.3-13.1
2016-03-26 19:23:28 status half-configured libgdbm3:armel 1.8.3-13.1
2016-03-26 19:23:28 status installed libgdbm3:armel 1.8.3-13.1
